query_id,query_num,found_query,gt_rows,pred_rows,F1-Cell,Cardinality,Tuple Constr.,AVG-Score,tokens,time_s,dataset,model_folder,model,method,method_label,run_id,run_num,category,query_label,pred_dir
query1,1,1,1,1,1.0,1.0,1.0,1.0,156.0,1.3640425419434905,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query2,2,1,1,1,1.0,1.0,1.0,1.0,158.0,1.158942208159715,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query3,3,1,2,2,1.0,1.0,1.0,1.0,178.0,0.7429781251121312,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query4,4,1,1,1,1.0,1.0,1.0,1.0,160.0,0.8520515421405435,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query5,5,1,1,1,1.0,1.0,1.0,1.0,158.0,0.9837020831182599,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query6,6,1,1,1,1.0,1.0,1.0,1.0,157.0,0.6240864167921245,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query7,7,1,1,1,1.0,1.0,1.0,1.0,159.0,1.2395386251155287,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query8,8,1,1,1,1.0,1.0,1.0,1.0,161.0,0.8529033327940851,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query9,9,1,1,1,1.0,1.0,1.0,1.0,157.0,0.9349481670651585,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query10,10,1,2,2,1.0,1.0,1.0,1.0,179.0,1.4342772501986474,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
