dataset,model,model_folder,method,method_label,query_id,query_num,category,query_label,F1-Cell,Cardinality,Tuple Constr.,AVG-Score
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query1,1,q1,q1,1.0,1.0,1.0,1.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query10,10,q1,q1,1.0,1.0,1.0,1.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query11,11,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query12,12,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query13,13,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query14,14,q2,q2,0.6,0.05454545454545454,0.21818181818181817,0.2909090909090909
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query15,15,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query16,16,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query17,17,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query18,18,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query19,19,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query2,2,q1,q1,1.0,0.5,1.0,0.8333333333333334
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query20,20,q2,q2,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query21,21,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query22,22,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query23,23,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query24,24,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query25,25,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query26,26,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query27,27,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query28,28,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query29,29,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query3,3,q1,q1,1.0,1.0,1.0,1.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query30,30,q3,q3,0.0,1.0,0.0,0.3333333333333333
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query31,31,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query32,32,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query33,33,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query34,34,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query35,35,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query36,36,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query37,37,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query38,38,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query39,39,q4,q4,0.3,0.3,0.3,0.3
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query4,4,q1,q1,1.0,1.0,1.0,1.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query40,40,q4,q4,0.0,0.0,0.0,0.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query41,41,q5,q5,0.17142857142857143,0.2,0.0,0.12380952380952381
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query42,42,q5,q5,0.8075000000000001,0.6,0.22000000000000003,0.5425
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query43,43,q5,q5,0.6196078431372549,1.0,0.0,0.5398692810457517
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query44,44,q5,q5,0.7829181494661921,0.909090909090909,0.0,0.5640030195190336
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query45,45,q5,q5,0.802919708029197,0.909090909090909,0.0,0.570670205706702
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query46,46,q5,q5,0.7071428571428571,0.9,0.0,0.5357142857142857
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query47,47,q5,q5,0.784316217590239,0.9545454545454545,0.0,0.5796205573785644
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query48,48,q5,q5,0.8148148148148147,1.0,0.0,0.6049382716049383
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query49,49,q5,q5,0.7857142857142857,1.0,0.0,0.5952380952380952
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query5,5,q1,q1,1.0,1.0,1.0,1.0
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query50,50,q5,q5,0.7769444387303807,0.8,0.0,0.5256481462434601
nobel_prizes,GPT-4o-mini,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,galois_a,GaloisA,query6,6,q1,q1,1.0,1.0,1.0,1.0
